"filename", "language", "JSON", "JavaScript", "vue", "Markdown", "JSON with Comments", "HTML", "XML", "PostCSS", "Batch", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\package.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\App.vue", "vue", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 85
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\assets\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 14, 87
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\EgresosTable.vue", "vue", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 327
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\HelloWorld.vue", "vue", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\IngresoTable.vue", "vue", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 158
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\ProductoTable.vue", "vue", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 111
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\TestProducto.vue", "vue", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\TheWelcome.vue", "vue", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 96
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\UserTable.vue", "vue", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\VentaTable.vue", "vue", 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 216
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\WelcomeItem.vue", "vue", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconAcciones.vue", "vue", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconCerrarSesion.vue", "vue", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconCommunity.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconConfiguracion.vue", "vue", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconDashboard.vue", "vue", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconGraficas.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconInventario.vue", "vue", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconSupport.vue", "vue", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\components\icons\IconTooling.vue", "vue", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\layouts\DashboardLayout.vue", "vue", 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 236
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\main.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\models\Producto.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\models\Rol.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\models\Usuario.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\models\VentaDTO.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\models\egreso.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Moreno\Desktop\PROGRAMACION\DESOFT1\BUDDYFINV\frontendbuddyfinv\src\providers\EgresoProvider.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 120
